drug_a,drug_b,cell_line,synergy
2662,126941,T47D,-361
5329102,644241,MDA-MB-231,-342
387447,126941,T47D,-338
5394,126941,T47D,-308
5311,2187,MDA-MB-231,-293
148121,20279,Hs-578-T,-287
4114,148124,BT-549,-282
2907,454216,BT-549,-269
60953,2187,MDA-MB-231,-259
387447,148124,T47D,-255
104842,5394,T47D,-254
644241,2187,MDA-MB-231,-251
2187,60953,MCF7,-248
387447,20279,T47D,-247
123596,126941,MDA-MB-231,-243
5329102,123596,MDA-MB-231,-240
4114,457193,BT-549,-237
4114,148124,MDA-MB-468,-234
104842,2187,T47D,-234
6252,126941,Hs-578-T,-230
644241,123596,MDA-MB-231,-230
6442177,644241,MDA-MB-231,-227
60953,644241,MDA-MB-231,-226
451668,454216,BT-549,-225
5746,454216,BT-549,-225
148121,6252,MDA-MB-468,-224
5284616,2187,MDA-MB-231,-223
3011155,2187,MDA-MB-231,-223
148121,6252,Hs-578-T,-222
104842,644241,T47D,-221
5311,36314,MDA-MB-468,-221
5311,444795,MDA-MB-231,-219
104842,123596,T47D,-218
406563,457193,MCF7,-218
2478,454216,Hs-578-T,-218
104842,3902,T47D,-216
249332,3902,Hs-578-T,-215
5311,36314,T47D,-215
9444,2187,T47D,-213
5394,126941,MDA-MB-231,-213
148121,5790,Hs-578-T,-213
148121,20279,BT-549,-210
3011155,644241,MDA-MB-231,-209
644241,2187,BT-549,-209
29327,454216,BT-549,-209
5284616,123596,MDA-MB-231,-208
104842,249332,T47D,-208
148121,36314,T47D,-208
5790,126941,T47D,-205
60953,104741,BT-549,-205
148121,20279,MDA-MB-468,-205
5284616,644241,T47D,-203
36314,20279,T47D,-202
451668,36314,MCF7,-202
387447,60749,T47D,-202
123596,3902,MDA-MB-231,-202
60953,3011155,MDA-MB-231,-201
6442177,123596,MDA-MB-231,-201
3950,4212,BT-549,-199
72466,3902,MCF7,-198
119182,249332,T47D,-198
454216,5284616,Hs-578-T,-197
9941095,3902,T47D,-196
36314,3011155,T47D,-194
9941095,644241,MDA-MB-231,-194
5329102,3902,MDA-MB-231,-194
657237,126941,T47D,-192
3690,454216,BT-549,-191
36314,3011155,Hs-578-T,-191
9887053,454216,MCF7,-191
36314,644241,T47D,-190
60953,123596,BT-549,-190
9941095,2733525,MDA-MB-231,-190
5394,3902,T47D,-189
4114,148124,MDA-MB-231,-189
60953,5394,BT-549,-189
3950,4212,Hs-578-T,-189
4842,454216,T47D,-187
5311,5394,T47D,-187
60953,644241,BT-549,-187
406563,6442177,T47D,-187
4114,249332,BT-549,-186
119182,454216,Hs-578-T,-184
5329102,3011155,MDA-MB-231,-184
3011155,123596,MDA-MB-231,-183
5311,3011155,MDA-MB-231,-183
60953,123596,MDA-MB-231,-183
123596,249332,T47D,-182
60749,123596,BT-549,-181
387447,667490,T47D,-180
5311,644241,MDA-MB-231,-178
3657,148124,T47D,-177
123608,5799,MCF7,-176
5311,36314,BT-549,-176
406563,3902,MCF7,-176
72466,3011155,MCF7,-174
5746,126941,MCF7,-174
5284616,5394,MDA-MB-231,-172
77082,3902,MCF7,-171
454216,2662,MCF7,-171
4211,5790,T47D,-171
60749,123596,MDA-MB-231,-171
6252,2662,T47D,-170
5352062,644241,T47D,-170
9444,5394,T47D,-168
60699,148124,MCF7,-168
9444,60953,T47D,-167
5329102,2733525,MDA-MB-231,-167
3657,3902,MCF7,-166
123596,126941,MDA-MB-468,-166
60749,5394,MDA-MB-231,-165
5311,3902,MDA-MB-231,-165
60953,2187,MDA-MB-468,-165
3950,4212,MDA-MB-231,-165
5311,60749,T47D,-164
3062316,644241,MDA-MB-231,-164
454216,3902,MCF7,-162
2141,148124,MCF7,-162
2123,11683,MDA-MB-231,-161
5311,5790,T47D,-161
644241,5394,BT-549,-161
5329102,5394,MDA-MB-231,-161
36314,60953,Hs-578-T,-160
644241,5394,MDA-MB-231,-160
57469,457193,MCF7,-159
9444,6252,T47D,-158
36314,3011155,MDA-MB-468,-158
5394,2733525,T47D,-158
60749,644241,MDA-MB-231,-158
60953,3657,BT-549,-158
123596,3902,MCF7,-158
9941095,3011155,T47D,-158
406563,3011155,MCF7,-158
249332,3902,MDA-MB-231,-157
60953,104741,Hs-578-T,-157
11683,216326,MDA-MB-231,-157
3011155,444795,BT-549,-156
443939,5329102,T47D,-155
5394,3902,MCF7,-155
3011155,123596,BT-549,-155
11683,60198,MDA-MB-231,-155
2662,126941,MDA-MB-231,-155
6442177,644241,Hs-578-T,-155
148124,3902,MDA-MB-231,-154
5453,126941,MDA-MB-231,-154
5284616,5394,Hs-578-T,-153
104842,5790,T47D,-153
5311,426756,T47D,-153
36314,119182,Hs-578-T,-152
5311,3902,T47D,-152
9941095,644241,T47D,-152
5329102,3902,T47D,-152
148121,426756,T47D,-152
104842,644241,MDA-MB-231,-151
60953,3902,MDA-MB-231,-151
5352062,457193,T47D,-151
60953,3011155,BT-549,-150
68740,36314,MDA-MB-468,-150
123608,148124,T47D,-149
249332,3902,MCF7,-149
3062316,644241,T47D,-149
9444,60953,MDA-MB-231,-148
77082,20279,T47D,-148
5329102,9941095,MDA-MB-231,-148
36314,426756,T47D,-147
5284616,3902,MDA-MB-231,-147
119182,644241,MDA-MB-468,-147
60749,644241,MDA-MB-468,-147
5311,123596,T47D,-147
60953,454216,T47D,-147
5352062,2187,T47D,-147
60953,2662,BT-549,-146
68740,3011155,MCF7,-146
29327,249332,Hs-578-T,-146
36314,5790,T47D,-145
123608,36314,Hs-578-T,-145
60953,5394,MDA-MB-231,-145
