drug_a,drug_b,cell_line,synergy
2478,77082,U251,-706
2478,119182,U251,-662
2478,657237,U251,-660
2478,454216,U251,-642
2478,5284616,U251,-606
2478,72466,U251,-588
9887053,454216,SF539,-395
5311,644241,SF268,-383
5311,123596,SF268,-377
451668,36314,SF539,-323
2141,126941,SF539,-298
5311,2187,SF268,-298
60699,457193,U251,-291
5311,3902,SF268,-273
9444,36314,SF539,-268
148121,36314,SNB75,-267
9887053,454216,SF268,-266
451668,126941,SF539,-265
57469,163659,U251,-265
60953,5394,SF295,-263
148121,60953,SNB75,-261
5311,5394,SF268,-254
57469,457193,SF539,-250
119182,163659,SF539,-243
444795,3902,SF268,-241
2141,163659,U251,-240
3011155,5394,SF295,-237
439693,454216,SF539,-235
444795,2662,SF268,-232
249332,3902,SF268,-232
5311,3011155,SF268,-230
451668,454216,SF295,-227
148124,3902,SF268,-226
3950,4212,U251,-226
148121,2733525,SNB75,-222
444795,657237,SF268,-217
2141,249332,U251,-217
4114,148124,SF539,-217
444795,20279,SF268,-216
2478,2733525,U251,-212
9444,2187,SF539,-205
5426,126941,SF539,-204
444795,126941,SF268,-203
57469,454216,SF539,-202
9444,2733525,SF539,-201
9444,457193,SF539,-200
444795,5453,SF268,-199
444795,249332,SF268,-198
439693,454216,SF268,-198
123608,36314,U251,-197
439693,457193,SF539,-195
119182,2733525,SF295,-195
60953,444795,SF295,-195
57469,163659,SF539,-193
36314,3011155,SF268,-190
5284616,426756,SF295,-190
148121,457193,SNB75,-190
36314,3902,SF268,-188
135401907,36314,SNB75,-187
3690,126941,SF539,-186
9887053,454216,SF295,-186
5352062,644241,SF268,-185
454216,5453,SF295,-184
2141,148124,U251,-183
4114,36314,SF268,-183
104842,3902,SF268,-183
9444,5394,SF539,-181
9444,60953,SF539,-181
36314,644241,SF268,-181
119182,104741,U251,-181
3011155,644241,SNB75,-181
644241,426756,SF295,-181
60749,667490,SF295,-180
249332,3902,U251,-180
104741,60953,SNB75,-178
3062316,5394,SF539,-178
5329102,5311,SF539,-177
454216,5284616,SF539,-176
5329102,644241,SF268,-176
9941095,644241,SF268,-175
451668,5453,SF539,-174
60953,644241,SNB75,-173
148121,20279,SF539,-173
104842,5394,SF268,-171
5799,36314,SF539,-171
444795,6252,SF268,-169
135401907,444795,SNB75,-169
57469,457193,U251,-169
451668,36314,U251,-168
9444,123596,SF539,-167
119182,123596,SF295,-167
148124,2187,SF268,-167
5799,36314,U251,-166
4211,249332,SF539,-165
2578,249332,SF539,-164
5311,2733525,SF268,-164
5311,241902,SF268,-164
406563,249332,SF268,-164
5284616,20279,SF295,-163
4114,148124,U251,-163
9444,20279,SF539,-162
9444,644241,SF539,-162
2141,457193,U251,-162
3011155,123596,SNB75,-162
2187,60953,SNB75,-161
439693,148124,U251,-159
9941095,644241,SF539,-159
644241,2187,SNB75,-158
406563,457193,SF268,-158
9444,657237,SF539,-156
123608,2733525,SF268,-155
123608,5799,SNB75,-155
2141,60749,SF295,-155
119182,444795,U251,-155
9941095,6252,SF539,-155
3690,249332,U251,-154
444795,5790,SF268,-154
148121,6252,SNB75,-154
3950,4212,SF268,-153
439693,148124,SF268,-152
148121,9941095,SNB75,-152
454216,36314,SF295,-151
119182,3902,U251,-151
4114,20279,SF539,-150
60749,123596,SF295,-150
3062316,3902,SF539,-149
406563,457193,U251,-149
3690,5799,SF539,-148
5746,36314,U251,-148
148124,3011155,SF268,-148
60953,123596,SNB75,-148
4842,36314,SNB75,-147
2141,126941,U251,-147
2578,5799,SF539,-147
119182,644241,U251,-147
60953,3011155,SF295,-147
6442177,60953,SF268,-147
60749,644241,SNB75,-146
148124,5394,SF268,-146
426756,126941,SF539,-145
2141,5799,SF539,-145
6442177,123596,SF268,-145
3950,4212,SF295,-145
9444,104741,SF539,-144
644241,123596,SNB75,-144
5284616,657237,SF295,-143
2141,457193,SF539,-143
5329102,5394,SNB75,-143
9887053,667490,SF268,-142
4211,457193,SF295,-142
148121,3011155,SF539,-142
29327,126941,SF539,-142
77082,457193,U251,-141
2578,148124,SF268,-141
60749,426756,SF295,-141
9941095,3011155,SF268,-141
104842,644241,SF268,-140
2187,457193,SF295,-140
3062316,119182,SF539,-140
2478,36314,SF295,-140
5352062,3902,SF268,-140
454216,36314,SF539,-139
5329102,123596,SF268,-139
5352062,2187,SF268,-139
9444,644241,SF268,-138
4114,249332,U251,-138
60749,123596,SNB75,-138
148124,657237,SF268,-138
406563,457193,SF539,-138
77082,123596,U251,-137
5284616,2187,SF295,-137
5790,3902,SF268,-137
241902,6442177,SF295,-137
104842,2187,SF268,-137
2578,148124,SF295,-136
4114,249332,SF539,-136
3011155,667490,SF295,-136
9941095,60749,SNB75,-136
3011155,2187,SNB75,-135
3950,4212,SNB75,-135
5799,2662,U251,-135
3690,20279,U251,-134
439693,454216,SF295,-134
57469,249332,U251,-134
60749,5790,SNB75,-134
9941095,644241,U251,-134
5329102,3011155,SF268,-134
9887053,148124,U251,-133
2141,454216,SF539,-133
249332,457193,SF268,-133
9941095,60953,SNB75,-133
644241,5394,SNB75,-133
644241,249332,SF295,-133
9444,104842,SF539,-132
5311,36314,SNB75,-132
104741,119182,SF539,-132
9941095,123596,SF268,-132
148121,104842,U251,-132
2907,241902,U251,-131
60953,104741,SNB75,-131
68740,3011155,SF539,-131
6442177,657237,SF539,-131
62770,5799,SF539,-131
135401907,36314,SF268,-130
5284616,126941,SNB75,-130
57469,148124,SF295,-130
57469,5935,SF295,-130
119182,2187,U251,-130
104842,123596,SF268,-130
2662,3902,SF268,-130
5352062,3011155,SF268,-130
148121,5790,SNB75,-130
9444,241902,SF539,-129
123608,5453,SNB75,-129
6252,126941,SF268,-129
104842,3011155,SF268,-129
3690,249332,SF295,-128
4211,3902,SF539,-128
2578,454216,SF539,-128
2578,126941,U251,-128
5311,60749,SF539,-128
36314,3011155,SNB75,-127
6239,444795,SF295,-127
5311,60953,SF268,-127
5329102,5394,SF268,-127
4842,454216,SF268,-126
9887053,241902,SF539,-126
135398738,62770,SNB75,-126
60953,2187,SNB75,-126
123596,6252,U251,-126
5329102,3902,SF268,-126
9444,123596,SF268,-125
4842,241902,SF268,-125
9941095,60953,U251,-125
4842,454216,SF295,-124
119182,644241,SNB75,-124
9941095,3011155,U251,-124
3690,20279,SF539,-123
3690,126941,U251,-123
60749,163659,SF539,-123
60749,2187,SNB75,-123
104842,657237,SF539,-123
5311,444795,SF268,-123
6442177,5352062,SF539,-123
5329102,3902,SF539,-123
2723601,5799,SF539,-123
148121,444795,U251,-123
123608,2733525,SF539,-122
4842,241902,SF295,-122
4211,9941095,SF539,-122
4114,126941,SF539,-122
119182,123596,SNB75,-122
3011155,104741,SNB75,-122
9444,3902,SF268,-121
77082,2662,U251,-121
439693,249332,U251,-121
2141,5935,SF539,-121
135398738,62770,SF295,-121
241902,119182,SF295,-121
119182,2733525,U251,-121
20279,5453,SF268,-120
77082,2733525,U251,-120
3011155,657237,SF539,-120
60953,3011155,SNB75,-120
11683,216326,SF268,-120
406563,5311,SNB75,-120
439693,454216,U251,-119
5746,36314,SNB75,-119
5790,126941,SNB75,-119
6252,457193,SF268,-119
3011155,444795,SNB75,-119
60953,3902,SNB75,-119
2478,444795,U251,-119
20279,249332,SF268,-118
123608,119182,SF295,-118
9887053,126941,SF295,-118
2141,126941,SF295,-118
57469,148124,U251,-118
4211,249332,SF295,-118
148124,426756,SF268,-118
6252,3902,SF268,-118
2478,5799,U251,-118
5329102,60953,SF268,-118
6239,126941,SF539,-117
9887053,5799,SF295,-117
2141,667490,SF268,-117
249332,3902,SNB75,-117
5311,36314,SF268,-117
6442177,444795,U251,-117
123596,126941,U251,-117
9941095,3902,SF268,-117
20279,457193,SF268,-116
135401907,657237,SF295,-116
5394,2733525,U251,-116
6442177,104842,SF539,-116
3690,3657,SF295,-115
123608,20279,U251,-115
5746,126941,SF539,-115
241902,457193,SF268,-115
60749,77082,SF295,-115
148124,644241,SF268,-115
406563,123596,SF539,-115
5284616,667490,SF295,-114
2907,148124,SF539,-114
2578,20279,SF539,-114
5426,444795,U251,-114
20279,3902,U251,-113
657237,5790,U251,-113
443939,5453,U251,-113
135401907,4211,SNB75,-113
2578,163659,SF539,-113
2187,3902,SNB75,-113
3062316,2733525,U251,-113
644241,20279,SF295,-113
644241,444795,SNB75,-113
2478,60749,SF295,-113
3690,20279,SF295,-112
3690,249332,SF539,-112
135401907,6252,SF539,-112
4842,5394,SF295,-112
241902,457193,SF539,-112
241902,119182,SF539,-112
119182,657237,U251,-112
5453,126941,SF268,-112
29327,20279,SF295,-112
454216,5453,U251,-111
9887053,667490,SF539,-111
2141,454216,SF295,-111
57469,5790,SF295,-111
241902,2662,U251,-111
119182,667490,SF295,-111
104842,644241,SF539,-111
9941095,5394,SF539,-111
5329102,9941095,SF539,-111
2723601,3385,SF539,-111
451668,241902,SF539,-110
2907,20279,SNB75,-110
119182,20279,SF295,-110
