drug_a,drug_b,cell_line,synergy
2578,657237,HCT-15,-539
104741,60953,HCC2998,-497
9887053,454216,HCC2998,-374
2708,3385,HT-29,-338
57469,454216,HCC2998,-322
9887053,454216,HCT-15,-292
4114,36314,HCC2998,-290
135413520,60198,HT-29,-288
2708,60198,HT-29,-287
9887053,454216,KM12,-273
2578,72466,HCT-15,-260
36314,3011155,HT-29,-250
123596,3902,HCT-15,-242
2907,454216,HCT-15,-237
3011155,5394,HCC2998,-237
451668,36314,KM12,-230
439693,148124,HCC2998,-230
57469,454216,COLO-205,-223
57469,454216,KM12,-222
5329102,123596,HCT-15,-221
5329102,644241,HCT-15,-220
2187,60953,HCT-15,-219
36314,60953,HT-29,-218
406563,457193,HCT-116,-218
2141,2733525,HT-29,-217
454216,3062316,COLO-205,-215
123596,249332,HCT-116,-212
2578,454216,KM12,-211
2187,2662,HCT-15,-211
406563,457193,COLO-205,-210
36314,119182,HT-29,-209
439693,444795,HCC2998,-209
3011155,123596,HCC2998,-209
36314,3011155,HCT-116,-208
5746,454216,HCT-15,-206
119182,249332,HCT-116,-206
249332,3902,HCT-15,-203
2187,5329102,HCC2998,-203
249332,3902,HT-29,-202
2708,6194,HT-29,-201
5329102,5394,HCT-15,-201
5799,36314,HT-29,-200
439693,454216,COLO-205,-199
57469,454216,HT-29,-199
29327,241902,HT-29,-199
657237,3902,HCT-116,-198
9444,5394,KM12,-196
2141,126941,HCT-15,-196
5329102,426756,HCT-15,-196
3011155,104741,HCC2998,-194
2123,62770,HT-29,-193
241902,457193,COLO-205,-192
3690,454216,HCT-15,-190
9887053,454216,COLO-205,-190
119182,163659,KM12,-190
406563,426756,SW620,-189
2907,148124,KM12,-188
5746,36314,HT-29,-187
5311,123596,HCC2998,-187
123596,2662,HCT-116,-186
2578,444795,HCC2998,-184
406563,457193,KM12,-184
3690,77082,HCC2998,-182
249332,3902,HCT-116,-182
123596,6252,HCT-15,-182
451668,454216,HCT-15,-181
20279,126941,HT-29,-180
2123,3385,HT-29,-180
406563,2662,HCC2998,-180
119182,249332,COLO-205,-179
11683,216326,KM12,-179
9444,644241,KM12,-178
439693,454216,HCT-15,-178
2578,148124,HCC2998,-178
387447,148124,HCT-116,-178
123608,148124,KM12,-177
3011155,5790,HCC2998,-177
406563,123596,SW620,-177
426756,3902,HCT-116,-176
57469,454216,HCT-15,-176
104741,60953,SW620,-176
123596,249332,COLO-205,-176
387447,249332,HCT-15,-175
406563,249332,HCC2998,-175
406563,2662,SW620,-175
29327,454216,HCT-15,-175
3011155,426756,HCC2998,-174
2187,6442177,HCT-15,-174
5746,36314,HCC2998,-173
4114,457193,HT-29,-173
4114,148124,HCC2998,-173
3950,216326,HT-29,-173
9887053,454216,HCT-116,-172
4842,36314,HCC2998,-171
123596,2733525,HCT-116,-171
148121,20279,HCT-116,-171
148121,20279,HCC2998,-170
5311,36314,HT-29,-169
148121,20279,SW620,-169
451668,5790,HCC2998,-167
9887053,5799,HCT-15,-167
5394,2662,KM12,-167
2187,123596,HCT-15,-167
6252,126941,SW620,-166
135413520,216326,HT-29,-166
3950,4212,HCT-116,-166
2733525,444795,HCT-15,-165
3011155,2187,HCC2998,-165
406563,3902,SW620,-165
2141,20279,HCC2998,-164
2578,454216,HCT-15,-164
3062316,644241,HCT-15,-164
123608,444795,HCT-15,-163
241902,5284616,COLO-205,-163
3062316,5394,HCT-15,-163
20279,3902,HT-29,-162
426756,5453,KM12,-162
57469,126941,HT-29,-162
451668,249332,HCC2998,-161
2733525,2662,HCT-116,-161
104741,5394,KM12,-161
2187,5284616,HCT-15,-161
451668,36314,HCC2998,-160
9887053,454216,HT-29,-160
406563,457193,HCC2998,-160
4114,249332,KM12,-159
119182,126941,SW620,-159
644241,5394,HCC2998,-159
406563,249332,SW620,-159
9444,657237,KM12,-158
2141,2733525,HCC2998,-158
6442177,123596,HCC2998,-158
406563,9941095,HCC2998,-158
4114,457193,SW620,-157
2187,249332,HCT-15,-157
2187,60953,SW620,-157
2907,3657,HCT-15,-156
5394,3902,KM12,-156
387447,9444,HCT-116,-156
60953,657237,HCC2998,-156
406563,426756,HCC2998,-156
406563,123596,HCC2998,-156
6239,454216,COLO-205,-155
57469,119182,HCC2998,-155
57469,148124,KM12,-155
4114,148124,SW620,-155
5352062,454216,HCC2998,-155
36314,5284616,HT-29,-154
426756,20279,KM12,-154
2578,60749,HCC2998,-154
3011155,644241,HCT-116,-154
2662,3902,HCT-15,-154
9444,2733525,KM12,-153
4114,36314,HT-29,-153
5453,3902,HT-29,-153
9444,5453,KM12,-152
36314,3011155,HCC2998,-152
135401907,5394,HCT-15,-152
123608,2733525,HCT-15,-152
4114,148124,KM12,-152
2187,3902,HCT-15,-152
123596,657237,KM12,-151
29327,5284616,HCC2998,-151
9444,123596,KM12,-150
451668,241902,HCC2998,-150
5746,126941,KM12,-150
5790,126941,KM12,-150
5426,5284616,HCC2998,-150
387447,148124,HCT-15,-150
77082,20279,HCT-116,-149
123608,36314,HT-29,-149
5311,123596,HCT-116,-149
644241,3902,KM12,-149
406563,2733525,SW620,-149
2478,36314,HCT-116,-149
9444,36314,KM12,-148
5394,249332,KM12,-148
406563,3902,HCC2998,-148
5352062,3902,HT-29,-148
2733525,444795,HCT-116,-147
123608,5799,HCC2998,-147
2187,60953,COLO-205,-147
460612,2123,HT-29,-147
60749,163659,KM12,-146
123596,426756,KM12,-146
123596,3902,HCT-116,-146
644241,2187,HCT-116,-146
29327,72466,HCC2998,-146
20279,126941,KM12,-145
444795,5453,HCT-15,-145
36314,119182,HCT-116,-145
123608,2733525,KM12,-145
4211,457193,COLO-205,-145
104842,3011155,HT-29,-145
3011155,644241,HCC2998,-145
406563,9941095,SW620,-145
3950,135413520,HCC2998,-145
62770,135413520,HCC2998,-145
123608,148124,COLO-205,-144
241902,119182,COLO-205,-144
406563,5394,SW620,-144
3657,5790,HCT-116,-143
2187,426756,HCT-15,-143
2478,119182,COLO-205,-143
