drug_a,drug_b,cell_line,synergy
4114,36314,RPMI-8226,-511
2907,5284616,HL-60,-499
5284616,2187,CCRF-CEM,-481
5311,3902,HL-60,-457
5311,36314,RPMI-8226,-425
2907,72466,HL-60,-422
9444,2187,CCRF-CEM,-409
2907,249332,HL-60,-407
104842,3902,HL-60,-405
9444,644241,CCRF-CEM,-400
77082,457193,RPMI-8226,-386
3950,4212,HL-60,-386
2907,657237,HL-60,-383
2907,36314,SR,-378
9444,60953,CCRF-CEM,-377
4842,72466,HL-60,-376
5311,457193,HL-60,-373
4114,36314,HL-60,-369
387447,148124,MOLT-4,-369
4842,4211,HL-60,-368
2907,667490,HL-60,-368
4842,457193,HL-60,-367
2187,60953,CCRF-CEM,-359
9444,36314,MOLT-4,-358
5284616,3902,CCRF-CEM,-357
406563,9941095,CCRF-CEM,-357
406563,5329102,CCRF-CEM,-353
5311,3011155,HL-60,-352
644241,2662,HL-60,-345
9444,457193,CCRF-CEM,-341
3011155,123596,HL-60,-333
387447,126941,MOLT-4,-331
241902,3902,SR,-329
5311,2662,HL-60,-328
2907,4211,HL-60,-327
2907,5790,HL-60,-326
4114,657237,RPMI-8226,-324
9941095,3011155,K-562,-322
5799,36314,RPMI-8226,-322
68740,60953,CCRF-CEM,-320
9444,104741,CCRF-CEM,-318
36314,119182,RPMI-8226,-308
406563,60953,K-562,-305
439693,454216,CCRF-CEM,-304
451668,36314,MOLT-4,-302
406563,5311,CCRF-CEM,-302
60953,2187,CCRF-CEM,-301
406563,3011155,K-562,-300
2187,2733525,HL-60,-298
4842,249332,HL-60,-297
2907,457193,SR,-297
119182,644241,CCRF-CEM,-296
3950,4212,MOLT-4,-293
9444,36314,CCRF-CEM,-292
29327,36314,MOLT-4,-292
60749,644241,CCRF-CEM,-291
135401907,454216,MOLT-4,-290
241902,119182,SR,-290
2578,454216,RPMI-8226,-289
123608,148124,RPMI-8226,-285
123596,6252,K-562,-285
2907,3657,HL-60,-284
5329102,123596,HL-60,-281
4114,148124,RPMI-8226,-279
9444,2733525,CCRF-CEM,-275
104741,9941095,CCRF-CEM,-274
135398738,62770,CCRF-CEM,-272
644241,2187,CCRF-CEM,-272
9444,60953,K-562,-270
60749,3902,CCRF-CEM,-270
148124,3902,HL-60,-266
60953,123596,HL-60,-266
9444,123596,CCRF-CEM,-265
4842,5284616,HL-60,-265
9444,457193,K-562,-264
77082,5329102,CCRF-CEM,-264
2907,5935,HL-60,-263
4842,5790,HL-60,-262
4842,667490,HL-60,-261
104842,3011155,HL-60,-261
2187,5329102,CCRF-CEM,-260
443939,9941095,RPMI-8226,-259
3011155,644241,HL-60,-259
2123,11683,HL-60,-257
148124,2187,CCRF-CEM,-256
3690,241902,MOLT-4,-255
104741,3062316,CCRF-CEM,-254
5284616,123596,CCRF-CEM,-252
5311,60953,HL-60,-251
387447,657237,RPMI-8226,-250
68740,9941095,RPMI-8226,-249
4842,241902,HL-60,-248
443939,5329102,RPMI-8226,-247
60749,2187,CCRF-CEM,-247
6442177,123596,HL-60,-247
3657,9941095,RPMI-8226,-246
5284616,123596,HL-60,-245
148124,3902,CCRF-CEM,-245
443939,5329102,CCRF-CEM,-244
406563,60953,CCRF-CEM,-243
135401907,119182,CCRF-CEM,-241
36314,60953,RPMI-8226,-240
406563,5329102,K-562,-240
9444,36314,K-562,-239
387447,9444,CCRF-CEM,-238
2907,5394,HL-60,-237
68740,2733525,SR,-237
9941095,426756,K-562,-237
20279,126941,K-562,-236
60953,2662,HL-60,-236
77082,9941095,CCRF-CEM,-235
2187,3062316,CCRF-CEM,-235
443939,457193,CCRF-CEM,-234
68740,9941095,CCRF-CEM,-234
9941095,5394,K-562,-234
9444,457193,MOLT-4,-232
5746,454216,MOLT-4,-232
443939,5394,RPMI-8226,-231
4114,457193,MOLT-4,-231
119182,2187,CCRF-CEM,-231
60953,644241,CCRF-CEM,-231
72466,444795,SR,-230
2907,148124,CCRF-CEM,-230
4114,241902,HL-60,-230
443939,60953,RPMI-8226,-229
104741,9941095,MOLT-4,-229
2187,444795,HL-60,-229
9444,5394,CCRF-CEM,-228
68740,644241,K-562,-228
72466,60953,CCRF-CEM,-227
123608,36314,MOLT-4,-227
644241,123596,HL-60,-226
249332,3902,K-562,-225
644241,657237,HL-60,-225
5352062,644241,CCRF-CEM,-225
9444,2187,K-562,-224
4842,119182,HL-60,-224
60749,123596,HL-60,-224
387447,148124,K-562,-224
644241,5453,HL-60,-223
