drug_a,drug_b,cell_line,synergy
9941095,644241,SK-MEL-28,-543
9887053,454216,UACC-257,-528
5329102,644241,SK-MEL-28,-506
9941095,123596,SK-MEL-28,-454
5329102,3011155,SK-MEL-28,-433
9887053,454216,M14,-417
2578,454216,UACC-257,-403
9941095,3902,SK-MEL-28,-394
5329102,3902,SK-MEL-28,-389
5329102,123596,SK-MEL-28,-389
2187,5311,LOXIMVI,-378
6442177,644241,SK-MEL-28,-372
9887053,454216,LOXIMVI,-363
5329102,5394,SK-MEL-28,-361
6442177,5394,SK-MEL-28,-358
6442177,123596,SK-MEL-28,-356
5329102,9941095,SK-MEL-28,-355
2907,454216,SK-MEL-28,-352
6442177,3902,SK-MEL-28,-343
5311,644241,SK-MEL-28,-341
6442177,3011155,SK-MEL-28,-328
439693,454216,M14,-309
3690,454216,LOXIMVI,-307
451668,454216,UACC-257,-301
9941095,5394,SK-MEL-28,-300
4114,148124,LOXIMVI,-291
5311,3011155,UACC-62,-287
2141,2733525,SK-MEL-5,-285
57469,454216,LOXIMVI,-283
451668,454216,LOXIMVI,-280
5311,5394,SK-MEL-28,-273
29327,454216,LOXIMVI,-273
2907,454216,UACC-257,-272
451668,36314,M14,-268
5311,3011155,SK-MEL-28,-266
36314,3011155,SK-MEL-5,-263
5311,123596,SK-MEL-28,-262
148124,2187,SK-MEL-28,-261
5311,3902,SK-MEL-28,-260
9887053,454216,UACC-62,-259
9887053,454216,SK-MEL-5,-258
36314,3011155,UACC-62,-256
5311,123596,UACC-62,-250
4114,457193,SK-MEL-28,-245
5311,2187,SK-MEL-28,-243
9444,3902,SK-MEL-28,-237
68740,123596,SK-MEL-2,-235
104842,3902,UACC-62,-234
148124,5394,SK-MEL-28,-231
104741,60953,LOXIMVI,-228
2141,163659,UACC-62,-226
9444,3902,UACC-62,-224
2141,249332,LOXIMVI,-223
2578,454216,M14,-223
2141,457193,UACC-62,-222
406563,5790,SK-MEL-2,-221
29327,454216,UACC-257,-221
9444,2187,LOXIMVI,-220
77082,123596,SK-MEL-2,-220
9941095,3011155,LOXIMVI,-219
4114,148124,SK-MEL-5,-218
3062316,3902,SK-MEL-28,-218
3690,454216,UACC-257,-217
2141,457193,LOXIMVI,-217
57469,148124,SK-MEL-5,-217
3062316,644241,SK-MEL-28,-217
77082,457193,SK-MEL-5,-216
9941095,2662,SK-MEL-28,-216
29327,241902,SK-MEL-5,-216
57469,163659,UACC-62,-215
119182,163659,UACC-257,-215
68740,249332,SK-MEL-2,-213
5352062,123596,UACC-62,-213
5746,126941,M14,-212
57469,454216,SK-MEL-5,-209
5329102,2662,SK-MEL-28,-207
148124,3902,SK-MEL-28,-206
11683,216326,SK-MEL-5,-206
9444,3011155,SK-MEL-28,-205
6239,126941,M14,-204
5329102,60953,SK-MEL-28,-204
77082,9941095,SK-MEL-2,-200
406563,457193,SK-MEL-5,-200
9444,36314,LOXIMVI,-198
9444,2733525,LOXIMVI,-197
2123,11683,SK-MEL-5,-197
439693,454216,UACC-62,-197
148124,3011155,SK-MEL-28,-197
5311,2187,UACC-62,-197
9444,5394,SK-MEL-28,-193
9444,644241,LOXIMVI,-193
451668,457193,M14,-193
5311,3902,UACC-62,-193
406563,20279,SK-MEL-2,-192
3062316,5394,SK-MEL-28,-190
6442177,426756,SK-MEL-28,-190
5311,5284616,SK-MEL-28,-189
6442177,2662,SK-MEL-28,-189
9941095,426756,SK-MEL-28,-189
4114,148124,UACC-257,-188
11683,3950,SK-MEL-5,-188
104741,36314,LOXIMVI,-188
3062316,3011155,SK-MEL-28,-188
9444,60953,LOXIMVI,-187
9444,644241,SK-MEL-28,-186
443939,5329102,SK-MEL-2,-186
104842,3011155,UACC-62,-186
72466,5790,LOXIMVI,-184
60749,163659,UACC-257,-183
148124,3902,UACC-62,-183
9444,457193,LOXIMVI,-182
6239,667490,M14,-182
4114,249332,SK-MEL-28,-182
60699,454216,UACC-257,-182
406563,60749,SK-MEL-2,-181
2141,249332,UACC-62,-179
9941095,60953,SK-MEL-28,-179
3657,5394,SK-MEL-5,-178
6442177,9444,SK-MEL-28,-178
406563,5394,SK-MEL-2,-178
4842,126941,M14,-177
104842,3902,SK-MEL-28,-177
104842,644241,SK-MEL-28,-177
36314,60953,SK-MEL-5,-176
20279,126941,UACC-257,-175
36314,3902,SK-MEL-28,-175
77082,2662,SK-MEL-5,-174
2141,20279,UACC-62,-174
5453,457193,SK-MEL-28,-174
104842,644241,UACC-62,-174
148124,60953,UACC-62,-173
2141,457193,SK-MEL-5,-172
9941095,9444,SK-MEL-28,-172
104842,123596,SK-MEL-28,-171
2141,126941,M14,-170
104842,2187,SK-MEL-28,-169
5311,60953,UACC-62,-169
68740,249332,SK-MEL-5,-169
3690,20279,M14,-168
57469,163659,SK-MEL-28,-168
77082,249332,SK-MEL-2,-167
57469,457193,UACC-62,-167
406563,123596,SK-MEL-2,-167
5329102,444795,SK-MEL-28,-167
9444,20279,LOXIMVI,-166
