drug_a,drug_b,cell_line,synergy
36314,3011155,NCI-H322M,-456
148124,5394,NCI-H322M,-432
148124,426756,NCI-H322M,-430
9444,644241,NCI-H322M,-409
36314,644241,NCI-H322M,-391
644241,5790,NCI-H322M,-388
644241,3902,NCI-H322M,-379
5352062,644241,NCI-H322M,-368
36314,426756,NCI-H322M,-365
644241,20279,NCI-H322M,-362
104842,644241,NCI-H322M,-358
9444,5394,NCI-H322M,-341
9887053,454216,NCI-H226,-341
57469,454216,NCI-H226,-341
148124,644241,NCI-H322M,-333
9444,123596,NCI-H322M,-332
148124,20279,NCI-H322M,-331
36314,3902,NCI-H322M,-326
148124,3902,NCI-H322M,-326
148124,3011155,NCI-H322M,-323
36314,20279,NCI-H322M,-319
3011155,123596,NCI-H322M,-315
148121,6252,NCI-H522,-309
60749,123596,NCI-H322M,-307
9444,426756,NCI-H322M,-304
9444,3011155,NCI-H322M,-304
2708,11683,NCI-H322M,-303
119182,123596,NCI-H322M,-302
439693,454216,A549,-301
6442177,123596,NCI-H322M,-301
5352062,123596,NCI-H322M,-295
9444,2187,NCI-H322M,-287
148124,657237,NCI-H322M,-287
4114,457193,NCI-H226,-285
60953,454216,NCI-H226,-285
644241,444795,NCI-H322M,-284
104842,5394,NCI-H322M,-283
3950,4212,HOP-62,-282
5329102,123596,NCI-H322M,-281
9444,3902,NCI-H322M,-273
148124,2187,NCI-H322M,-273
123608,5799,HOP-62,-269
5352062,426756,NCI-H322M,-268
36314,5790,NCI-H322M,-266
5311,644241,NCI-H322M,-266
60953,20279,NCI-H322M,-266
2907,454216,NCI-H226,-265
9887053,454216,A549,-262
148124,457193,NCI-H322M,-262
60953,123596,NCI-H322M,-261
249332,3902,NCI-H226,-259
36314,6252,NCI-H322M,-258
5311,426756,NCI-H322M,-258
5311,5394,NCI-H322M,-258
249332,3902,A549,-256
148124,241902,NCI-H322M,-255
5352062,5394,NCI-H322M,-254
2708,11683,HOP-92,-253
57469,454216,A549,-253
2578,454216,NCI-H522,-253
11683,135413520,HOP-92,-251
36314,60749,NCI-H322M,-248
60749,5394,NCI-H322M,-245
6194,11683,NCI-H322M,-244
60953,5394,NCI-H322M,-242
5394,126941,NCI-H226,-241
148124,5453,NCI-H322M,-241
148124,5790,NCI-H322M,-238
119182,644241,NCI-H322M,-235
460612,135398738,NCI-H322M,-235
2733525,444795,HOP-62,-234
11683,123631,HOP-92,-234
148121,20279,NCI-H322M,-234
5799,36314,NCI-H322M,-234
148124,123596,NCI-H322M,-233
36314,119182,NCI-H322M,-232
2123,135398738,NCI-H322M,-232
2123,11683,NCI-H322M,-232
9444,20279,NCI-H322M,-231
406563,3902,NCI-H322M,-231
644241,2187,NCI-H322M,-229
104842,3902,NCI-H322M,-227
123596,3902,NCI-H226,-227
148121,6252,NCI-H322M,-226
2708,452548,NCI-H322M,-225
5311,36314,NCI-H322M,-225
4114,148124,NCI-H23,-224
5311,123596,NCI-H322M,-224
60953,657237,NCI-H322M,-224
104842,426756,NCI-H322M,-222
4114,36314,NCI-H226,-221
60749,426756,NCI-H322M,-221
60749,5790,NCI-H322M,-221
60953,426756,NCI-H322M,-221
9444,2733525,NCI-H322M,-220
148124,60953,NCI-H322M,-220
9444,457193,NCI-H322M,-218
6194,36462,NCI-H322M,-218
119182,20279,NCI-H322M,-217
9887053,454216,NCI-H322M,-216
5790,3902,NCI-H226,-216
148124,104741,NCI-H322M,-216
460612,36462,NCI-H322M,-216
5746,36314,NCI-H322M,-215
9444,60749,NCI-H322M,-214
77082,6442177,NCI-H23,-214
60953,2733525,NCI-H322M,-213
644241,2187,HOP-92,-213
11683,60198,HOP-92,-212
2723601,11683,HOP-92,-211
9444,36314,NCI-H322M,-210
439693,148124,NCI-H226,-210
2708,62770,NCI-H322M,-208
119182,5394,NCI-H322M,-208
406563,6252,NCI-H322M,-207
657237,3902,NCI-H226,-206
104842,5790,NCI-H322M,-206
104842,123596,NCI-H322M,-206
104842,444795,NCI-H322M,-205
5284616,123596,NCI-H322M,-204
2123,11683,NCI-H226,-203
148124,36314,NCI-H322M,-203
5394,20279,EKVX,-202
36314,60953,NCI-H322M,-201
4842,36314,NCI-H522,-200
5746,454216,NCI-H226,-200
2708,6194,NCI-H322M,-200
454216,3062316,A549,-199
2708,3950,NCI-H322M,-199
104842,2187,NCI-H322M,-199
4114,241902,NCI-H522,-198
60749,2733525,NCI-H322M,-198
9444,104741,NCI-H322M,-197
5284616,5394,NCI-H322M,-197
5311,644241,NCI-H522,-197
11683,45055483,HOP-92,-197
5352062,2187,NCI-H322M,-197
119182,644241,NCI-H522,-196
104842,2733525,NCI-H322M,-196
60699,148124,NCI-H522,-195
119182,5790,NCI-H322M,-194
406563,457193,NCI-H522,-194
9444,444795,NCI-H322M,-193
20279,3902,NCI-H226,-193
2733525,657237,HOP-62,-193
4211,5394,HOP-62,-193
387447,148124,NCI-H322M,-193
406563,9444,NCI-H522,-193
3657,2733525,HOP-62,-192
119182,2733525,NCI-H322M,-192
11683,45055483,NCI-H322M,-192
9444,60953,NCI-H322M,-191
451668,36314,NCI-H23,-189
5746,126941,EKVX,-189
2578,454216,NCI-H226,-188
148124,249332,NCI-H322M,-188
9941095,5453,NCI-H322M,-188
5329102,104842,NCI-H322M,-188
387447,657237,NCI-H322M,-187
644241,667490,NCI-H322M,-187
5284616,644241,NCI-H322M,-186
387447,6252,NCI-H322M,-186
3011155,657237,NCI-H322M,-186
406563,123596,NCI-H322M,-186
2907,148124,HOP-62,-185
3062316,123596,NCI-H322M,-185
406563,457193,NCI-H322M,-185
9444,119182,NCI-H322M,-184
60749,657237,NCI-H322M,-184
3011155,2733525,NCI-H322M,-184
123608,5799,NCI-H522,-183
3657,444795,HOP-62,-183
2907,126941,HOP-92,-182
2141,454216,NCI-H226,-182
3011155,3902,NCI-H522,-180
406563,60749,NCI-H522,-180
460612,11683,NCI-H322M,-180
20279,126941,NCI-H322M,-179
57469,454216,NCI-H522,-179
3011155,426756,NCI-H322M,-179
5311,20279,NCI-H322M,-179
5311,3011155,NCI-H322M,-179
644241,2662,NCI-H322M,-179
4114,20279,EKVX,-178
104842,249332,NCI-H322M,-178
3011155,20279,NCI-H322M,-178
60953,6252,NCI-H322M,-178
11683,71384,HOP-92,-178
2723601,3385,HOP-62,-178
3950,4212,A549,-178
5311,457193,NCI-H322M,-177
9941095,123596,NCI-H322M,-177
2141,457193,NCI-H522,-176
5394,657237,EKVX,-176
104842,457193,NCI-H322M,-176
2907,104842,HOP-62,-175
148121,5394,NCI-H322M,-175
460612,62770,NCI-H322M,-175
387447,20279,NCI-H322M,-174
119182,644241,HOP-92,-173
104842,3011155,NCI-H322M,-173
3011155,6252,NCI-H322M,-173
148121,444795,NCI-H322M,-173
3950,4212,NCI-H522,-173
460612,3950,NCI-H322M,-173
451668,126941,EKVX,-172
123608,2733525,NCI-H322M,-172
104842,20279,NCI-H322M,-172
104842,5453,NCI-H322M,-172
3011155,5790,NCI-H322M,-172
9941095,20279,NCI-H322M,-172
135398738,71384,NCI-H322M,-171
5453,2662,NCI-H226,-171
60953,5790,NCI-H322M,-171
406563,20279,NCI-H322M,-171
406563,5453,NCI-H322M,-171
5329102,3902,NCI-H226,-170
20279,126941,HOP-92,-169
104842,148124,NCI-H322M,-169
387447,60749,NCI-H322M,-169
3011155,5394,NCI-H322M,-169
3011155,644241,HOP-92,-169
