drug_a,drug_b,cell_line,synergy
387447,20279,OVCAR-3,-439
148124,2187,OVCAR-5,-401
387447,9444,OVCAR-3,-366
387447,126941,OVCAR-3,-355
148124,3902,OVCAR-5,-347
148124,3011155,OVCAR-5,-345
148124,5394,OVCAR-5,-305
9444,3011155,OVCAR-5,-301
9444,2187,OVCAR-5,-301
4114,60749,OVCAR-3,-292
387447,148124,OVCAR-3,-283
148121,20279,SK-OV-3,-281
5352062,3902,OVCAR-5,-279
9444,3902,OVCAR-5,-265
5746,454216,OVCAR-8,-255
9444,2733525,OVCAR-8,-252
2907,454216,OVCAR-8,-249
36314,3011155,OVCAR-5,-248
9887053,454216,SK-OV-3,-248
4114,36314,OVCAR-8,-244
4114,148124,OVCAR-5,-243
29327,241902,OVCAR-3,-241
9444,5394,OVCAR-8,-240
4114,457193,OVCAR-3,-240
36314,3902,OVCAR-5,-236
9444,36314,OVCAR-8,-233
4114,126941,OVCAR-8,-233
104842,5394,OVCAR-5,-233
451668,36314,SK-OV-3,-232
5790,126941,OVCAR-4,-231
5329102,3902,IGROV-1,-230
5329102,644241,IGROV-1,-230
5746,241902,OVCAR-3,-226
6442177,3011155,IGROV-1,-224
9444,644241,OVCAR-8,-223
148121,20279,OVCAR-8,-223
5790,126941,IGROV-1,-222
36314,5394,OVCAR-5,-219
4114,148124,SK-OV-3,-218
104842,3902,OVCAR-5,-215
5352062,2187,OVCAR-5,-215
148124,426756,OVCAR-5,-214
249332,3902,IGROV-1,-214
4114,657237,OVCAR-3,-213
60749,644241,OVCAR-3,-213
5453,3902,OVCAR-3,-213
4842,36314,OVCAR-3,-212
104842,644241,OVCAR-5,-211
2123,60198,OVCAR-3,-210
68740,123596,OVCAR-3,-210
148124,3011155,OVCAR-8,-209
5329102,3011155,IGROV-1,-209
148124,5394,OVCAR-8,-208
9444,457193,OVCAR-8,-207
5329102,123596,IGROV-1,-203
9887053,454216,OVCAR-5,-202
9444,6252,OVCAR-3,-201
60749,2187,OVCAR-3,-201
4114,5394,OVCAR-3,-200
3011155,5790,OVCAR-3,-199
9444,60749,OVCAR-3,-198
4114,249332,OVCAR-4,-198
9444,5394,OVCAR-5,-196
5426,454216,OVCAR-3,-196
135398738,60198,OVCAR-3,-192
5426,444795,OVCAR-3,-192
9444,644241,OVCAR-3,-190
148121,444795,OVCAR-4,-190
3011155,5394,OVCAR-3,-189
5352062,3011155,OVCAR-5,-189
11683,60198,OVCAR-3,-188
3690,657237,OVCAR-3,-187
3690,126941,OVCAR-4,-186
104842,2187,OVCAR-5,-186
387447,148124,IGROV-1,-186
9444,123596,OVCAR-5,-185
4114,126941,OVCAR-3,-185
387447,60749,OVCAR-3,-184
3011155,123596,OVCAR-3,-184
119182,123596,OVCAR-3,-183
4842,454216,OVCAR-5,-181
60699,20279,OVCAR-3,-181
60953,3011155,OVCAR-3,-181
5329102,60953,IGROV-1,-180
119182,163659,OVCAR-3,-178
5311,644241,OVCAR-5,-178
9887053,454216,IGROV-1,-176
4114,36314,OVCAR-4,-176
5311,444795,OVCAR-3,-176
249332,126941,OVCAR-3,-173
9444,36314,OVCAR-3,-171
9444,60953,OVCAR-3,-171
444795,5453,OVCAR-3,-171
119182,2733525,OVCAR-3,-171
148121,20279,OVCAR-5,-171
9444,5394,OVCAR-3,-170
5746,36314,OVCAR-3,-170
4114,457193,OVCAR-5,-169
5311,5394,OVCAR-5,-169
6442177,3902,IGROV-1,-169
406563,457193,IGROV-1,-169
135398738,62770,OVCAR-3,-168
5426,126941,OVCAR-4,-168
9444,444795,OVCAR-3,-167
9444,123596,OVCAR-3,-167
36314,20279,OVCAR-5,-167
5426,126941,OVCAR-8,-167
3950,4212,OVCAR-8,-167
387447,126941,IGROV-1,-166
439693,148124,SK-OV-3,-165
60749,657237,OVCAR-3,-165
148124,657237,OVCAR-5,-165
3690,454216,OVCAR-3,-164
36314,60749,OVCAR-5,-161
5284616,644241,IGROV-1,-161
5746,148124,OVCAR-3,-161
249332,126941,IGROV-1,-161
5352062,5394,OVCAR-5,-161
387447,148124,OVCAR-5,-160
5352062,5394,OVCAR-8,-160
444795,3902,OVCAR-3,-159
60699,126941,OVCAR-3,-159
104842,148124,OVCAR-5,-159
104842,123596,OVCAR-5,-159
387447,20279,IGROV-1,-159
406563,457193,OVCAR-3,-159
104842,426756,OVCAR-5,-158
5329102,5394,IGROV-1,-158
36314,657237,OVCAR-3,-157
5311,2187,OVCAR-5,-157
60699,148124,OVCAR-5,-156
148124,3902,OVCAR-8,-156
29327,4211,OVCAR-3,-156
119182,3011155,OVCAR-3,-155
2141,454216,OVCAR-3,-154
387447,9444,OVCAR-5,-154
3011155,644241,SK-OV-3,-154
439693,454216,IGROV-1,-153
5329102,5453,OVCAR-3,-153
3690,5935,OVCAR-3,-152
451668,126941,OVCAR-3,-152
6442177,5394,IGROV-1,-152
148121,6252,OVCAR-8,-152
9444,104741,OVCAR-5,-151
9444,123596,OVCAR-8,-151
3690,119182,OVCAR-3,-151
451668,126941,OVCAR-8,-151
119182,123596,SK-OV-3,-151
60699,5935,OVCAR-3,-151
68740,5394,OVCAR-3,-151
36314,3011155,IGROV-1,-150
4114,36314,OVCAR-5,-150
60749,2187,SK-OV-3,-150
5426,5394,OVCAR-3,-150
9703,5935,OVCAR-3,-150
71384,4212,OVCAR-3,-148
439693,454216,OVCAR-3,-148
60749,644241,IGROV-1,-148
148124,3902,OVCAR-4,-148
5426,249332,OVCAR-4,-148
29327,657237,OVCAR-3,-148
4114,126941,OVCAR-4,-147
3011155,444795,OVCAR-3,-147
20279,126941,OVCAR-4,-146
249332,3902,OVCAR-3,-146
3011155,667490,OVCAR-3,-146
5329102,119182,OVCAR-3,-146
6194,216326,SK-OV-3,-145
119182,644241,SK-OV-3,-145
60749,163659,OVCAR-3,-145
60749,644241,SK-OV-3,-145
460612,45055483,OVCAR-3,-145
9444,241902,OVCAR-5,-144
2733525,3902,OVCAR-5,-144
454216,36314,OVCAR-3,-144
6194,45055483,OVCAR-3,-144
119182,77082,OVCAR-3,-144
60749,123596,SK-OV-3,-144
60953,644241,SK-OV-3,-144
406563,249332,IGROV-1,-144
5329102,644241,OVCAR-3,-144
5352062,3902,OVCAR-8,-144
9444,249332,OVCAR-5,-143
5284616,2187,IGROV-1,-143
387447,6252,OVCAR-5,-143
