drug_a,drug_b,cell_line,synergy
4114,148124,DU-145,-252
4114,249332,DU-145,-235
249332,3902,PC-3,-225
4842,454216,PC-3,-218
119182,123596,DU-145,-214
249332,3902,DU-145,-194
6194,135413520,PC-3,-193
148121,20279,PC-3,-188
2141,454216,PC-3,-186
3011155,444795,DU-145,-180
2907,5799,DU-145,-178
5790,126941,PC-3,-174
4114,3657,DU-145,-172
9887053,454216,PC-3,-169
3950,4212,PC-3,-167
5311,123596,PC-3,-163
104842,657237,DU-145,-159
104842,5394,DU-145,-155
2907,454216,DU-145,-153
119182,3902,DU-145,-150
5311,644241,PC-3,-150
60953,2662,DU-145,-150
5426,249332,DU-145,-149
5746,454216,DU-145,-147
104741,2662,DU-145,-147
5311,2187,PC-3,-146
123608,2733525,DU-145,-145
119182,644241,DU-145,-144
454216,104842,DU-145,-140
387447,20279,PC-3,-140
60953,123596,DU-145,-140
3950,135413520,PC-3,-140
6252,126941,DU-145,-139
387447,148124,PC-3,-139
3011155,644241,DU-145,-136
148124,3902,PC-3,-135
2478,457193,DU-145,-135
5799,249332,PC-3,-135
60749,123596,DU-145,-134
460612,135413520,PC-3,-132
9444,36314,DU-145,-131
5799,20279,PC-3,-130
444795,2662,DU-145,-129
2708,135413520,PC-3,-129
2723601,3385,DU-145,-129
5284616,123596,DU-145,-128
5311,3011155,PC-3,-128
5426,457193,DU-145,-127
60953,249332,DU-145,-125
5284616,644241,PC-3,-123
60953,644241,DU-145,-123
5311,123596,DU-145,-122
6239,5799,DU-145,-121
148124,3011155,PC-3,-121
249332,457193,PC-3,-121
6194,45055483,PC-3,-120
4114,4211,DU-145,-120
4114,119182,DU-145,-120
119182,457193,DU-145,-120
5311,3902,PC-3,-120
3657,249332,PC-3,-119
104842,123596,PC-3,-119
135401907,36314,DU-145,-118
387447,60749,PC-3,-118
3690,454216,DU-145,-117
4211,249332,DU-145,-117
119182,5394,DU-145,-117
3011155,2187,DU-145,-117
3011155,2662,DU-145,-117
20279,457193,DU-145,-116
71384,135413520,PC-3,-116
3385,36462,PC-3,-116
5284616,20279,DU-145,-115
6194,4212,PC-3,-115
4114,6252,DU-145,-115
104842,2187,PC-3,-115
3011155,657237,DU-145,-115
5311,5394,PC-3,-115
5329102,457193,PC-3,-115
5284616,163659,DU-145,-114
4114,104842,DU-145,-114
119182,77082,DU-145,-114
5426,5935,DU-145,-114
126941,5329102,DU-145,-114
135398738,135413520,PC-3,-113
5284616,3657,DU-145,-112
104842,644241,PC-3,-112
249332,457193,DU-145,-112
387447,667490,PC-3,-112
460612,452548,PC-3,-112
135401907,119182,DU-145,-111
60699,20279,PC-3,-111
104842,3902,DU-145,-111
2478,36314,PC-3,-111
2723601,452548,PC-3,-111
5426,657237,DU-145,-110
3011155,123596,DU-145,-110
249332,126941,DU-145,-109
123596,126941,DU-145,-109
4842,5799,DU-145,-108
60749,20279,DU-145,-108
5426,5453,DU-145,-108
5799,148124,PC-3,-108
2708,11683,PC-3,-107
57469,454216,PC-3,-107
135413520,5799,PC-3,-107
