drug_a,drug_b,cell_line,synergy
5329102,644241,RXF393,-543
3011155,3902,786-0,-508
60953,3011155,786-0,-477
5329102,123596,RXF393,-438
5329102,5394,RXF393,-432
60953,3902,786-0,-418
119182,3902,786-0,-404
4114,148124,RXF393,-396
9887053,454216,A498,-374
644241,126941,786-0,-363
5329102,3011155,RXF393,-362
5329102,3902,RXF393,-354
5284616,3657,786-0,-345
20279,126941,786-0,-337
5329102,9941095,RXF393,-329
6442177,123596,RXF393,-310
6442177,5394,RXF393,-306
2478,126941,CAKI-1,-302
2907,126941,CAKI-1,-296
6442177,644241,RXF393,-295
5329102,426756,RXF393,-295
5329102,5284616,RXF393,-292
9941095,644241,RXF393,-290
5329102,5453,RXF393,-289
5284616,3011155,786-0,-287
2907,5799,CAKI-1,-282
2478,3657,CAKI-1,-279
6442177,3902,RXF393,-274
644241,77082,786-0,-271
135401907,444795,CAKI-1,-267
2478,9444,CAKI-1,-267
60953,657237,786-0,-262
135401907,657237,CAKI-1,-260
5426,60749,RXF393,-260
6442177,3011155,RXF393,-258
644241,657237,786-0,-257
451668,454216,RXF393,-248
135401907,5935,CAKI-1,-248
6239,241902,CAKI-1,-245
4842,126941,RXF393,-245
2907,20279,CAKI-1,-245
6442177,426756,RXF393,-240
2907,9444,CAKI-1,-233
444795,126941,RXF393,-232
60749,3902,786-0,-232
6442177,119182,RXF393,-232
644241,2187,786-0,-232
9703,657237,RXF393,-232
6194,11683,CAKI-1,-231
5284616,2187,786-0,-229
60953,3011155,RXF393,-227
3690,454216,RXF393,-226
6239,148124,CAKI-1,-225
2708,11683,CAKI-1,-225
5329102,2733525,RXF393,-224
5329102,60953,RXF393,-223
4114,126941,RXF393,-222
5329102,20279,RXF393,-222
5426,657237,RXF393,-221
135398738,443939,RXF393,-220
3011155,457193,786-0,-219
5329102,2662,RXF393,-219
6442177,5453,RXF393,-218
2907,241902,CAKI-1,-216
4842,126941,CAKI-1,-215
135401907,126941,CAKI-1,-214
6239,5394,CAKI-1,-214
123608,4211,CAKI-1,-214
4114,60749,RXF393,-214
5329102,60749,RXF393,-214
3690,5799,RXF393,-213
36314,3011155,TK10,-213
148124,2187,TK10,-213
5746,126941,CAKI-1,-212
3011155,249332,786-0,-212
9941095,5394,RXF393,-212
5329102,6252,RXF393,-212
4114,249332,SN12C,-211
3011155,2662,786-0,-210
2478,148124,CAKI-1,-210
9444,644241,A498,-208
5329102,104842,RXF393,-208
119182,644241,ACHN,-207
9941095,3011155,RXF393,-207
406563,249332,SN12C,-207
36314,644241,TK10,-206
148121,20279,786-0,-206
2907,667490,CAKI-1,-202
119182,126941,786-0,-202
104842,5394,RXF393,-202
9444,2187,A498,-201
60749,123596,ACHN,-201
5426,20279,RXF393,-201
6442177,60749,RXF393,-201
9703,126941,RXF393,-201
451668,5453,A498,-200
148124,3902,TK10,-200
5329102,119182,RXF393,-200
3950,4212,SN12C,-198
6239,249332,CAKI-1,-197
2578,126941,786-0,-197
60749,644241,ACHN,-197
60953,2187,786-0,-197
6442177,2662,RXF393,-197
36314,3902,TK10,-194
6239,444795,CAKI-1,-194
60749,3902,SN12C,-194
3011155,644241,RXF393,-193
29327,454216,RXF393,-193
60749,163659,TK10,-192
6442177,3062316,RXF393,-192
4211,457193,TK10,-191
451668,241902,A498,-190
123608,457193,CAKI-1,-190
4114,457193,RXF393,-190
60953,644241,RXF393,-190
60953,454216,786-0,-189
406563,6442177,CAKI-1,-189
36314,3011155,RXF393,-188
451668,36314,A498,-188
11683,36462,CAKI-1,-188
2907,444795,CAKI-1,-187
2907,249332,CAKI-1,-187
9703,5394,RXF393,-187
3385,11683,CAKI-1,-185
5329102,444795,RXF393,-185
406563,457193,CAKI-1,-184
406563,249332,TK10,-184
9703,5453,RXF393,-184
104842,3902,RXF393,-183
5284616,2187,RXF393,-181
3062316,104842,RXF393,-181
20279,126941,TK10,-180
123608,5453,CAKI-1,-179
68740,60953,CAKI-1,-179
148124,3011155,TK10,-178
9941095,104842,RXF393,-178
451668,36314,SN12C,-177
119182,2733525,786-0,-177
3011155,644241,ACHN,-177
148121,444795,CAKI-1,-177
11683,135413520,CAKI-1,-176
9444,5394,A498,-175
4114,148124,SN12C,-175
4114,6252,RXF393,-175
60953,2187,RXF393,-174
9941095,5311,RXF393,-174
5329102,6442177,RXF393,-174
135401907,2733525,CAKI-1,-173
2907,3657,CAKI-1,-173
104842,6252,RXF393,-173
9941095,3902,RXF393,-173
5311,123596,TK10,-172
104741,3902,SN12C,-172
644241,2187,RXF393,-172
406563,644241,CAKI-1,-172
60749,644241,RXF393,-171
5284616,426756,786-0,-170
2907,457193,CAKI-1,-170
2578,454216,786-0,-170
